candidate_id,formula_pretty,chemsys,origin_requested_chemsys,matched_query_chemsys,retrieval_mode,requested_overlap_score,n_elements,assigned_family,family_match,complexity_score,complexity_threshold,passed_complexity_gate,rejection_stage,rejection_reason,survives_baseline,case_id
mp-1206044,CrCoBr3,Br-Co-Cr,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-10394,CrCoGe,Co-Cr-Ge,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226287,CrCoPt2,Co-Cr-Pt,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-570863,CrCoPt2,Co-Cr-Pt,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1095673,CrCoSi,Co-Cr-Si,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226249,CrCoSi2,Co-Cr-Si,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-567981,CrGaCo2,Co-Cr-Ga,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-16735,CrInCo2,Co-Cr-In,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1195916,Ho2Cr2Co15,Co-Cr-Ho,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1028407,Mg14CrCo,Co-Cr-Mg,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1028410,Mg14CrCo,Co-Cr-Mg,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1022048,Mg6CrCo,Co-Cr-Mg,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1022092,Mg6CrCo,Co-Cr-Mg,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-864955,Mn2CrCo,Co-Cr-Mn,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1222067,Mn4Cr(Co2Ge)5,Co-Cr-Ge-Mn,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,4,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
